Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.934895833,0.908333333,0.870833333,,Run1-copy,0.963157895,0.957446809,0.921052632,,Run1-synth,0.891428571,0.914285714,0.95505618
Run2-iso,0.945799458,0.952688172,0.892473118,,Run2-copy,0.895287958,0.947368421,0.910994764,,Run2-synth,0.875,0.903409091,0.934065934
Run3-iso,0.924119241,0.838709677,0.892473118,,Run3-copy,0.913513514,0.956043956,0.92972973,,Run3-synth,0.899441341,0.843575419,0.956043956
Run4-iso,0.956639566,0.8,0.847311828,,Run4-copy,0.907608696,0.966666667,0.907608696,,Run4-synth,0.859649123,0.830409357,0.905882353
Run5-iso,0.945799458,0.898924731,0.853763441,,Run5-copy,0.905759162,0.947368421,0.90052356,,Run5-synth,0.867816092,0.890804598,0.897727273
Run6-iso,0.964769648,0.909677419,0.929032258,,Run6-copy,0.903225806,0.945652174,0.919354839,,Run6-synth,0.927710843,0.86746988,0.928571429
Run7-iso,0.947916667,0.916666667,0.883333333,,Run7-copy,0.93442623,0.97752809,0.928961749,,Run7-synth,0.9,0.864705882,0.926829268
Run8-iso,0.9375,0.914583333,0.914583333,,Run8-copy,0.894179894,0.956989247,0.952380952,,Run8-synth,0.815028902,0.89017341,0.94047619
Run9-iso,0.932249322,0.864516129,0.858064516,,Run9-copy,0.930107527,0.967391304,0.88172043,,Run9-synth,0.844827586,0.879310345,0.977777778
Run10-iso,0.921409214,0.832258065,0.883870968,,Run10-copy,0.940217391,0.977777778,0.945652174,,Run10-synth,0.814606742,0.792134831,0.934782609
Run11-iso,0.962059621,0.888172043,0.864516129,,Run11-copy,0.947089947,0.946236559,0.904761905,,Run11-synth,0.882022472,0.876404494,0.901098901
Run12-iso,0.942708333,0.9,0.902083333,,Run12-copy,0.940217391,0.988888889,0.923913043,,Run12-synth,0.872727273,0.884848485,0.888888889
Run13-iso,0.943089431,0.898924731,0.905376344,,Run13-copy,0.967567568,0.923076923,0.897297297,,Run13-synth,0.878787879,0.848484848,0.9625
Run14-iso,0.953929539,0.806451613,0.894623656,,Run14-copy,0.968421053,0.936170213,0.926315789,,Run14-synth,0.891891892,0.832432432,0.96875
Run15-iso,0.934895833,0.922916667,0.895833333,,Run15-copy,0.934782609,0.966666667,0.902173913,,Run15-synth,0.89017341,0.907514451,0.952941176
Run16-iso,0.947916667,0.902083333,0.904166667,,Run16-copy,0.956521739,0.966666667,0.956521739,,Run16-synth,0.875739645,0.875739645,0.951807229
Run17-iso,0.934895833,0.939583333,0.860416667,,Run17-copy,0.925925926,0.967741935,0.883597884,,Run17-synth,0.936046512,0.88372093,0.964285714
Run18-iso,0.924119241,0.868817204,0.931182796,,Run18-copy,0.934782609,0.977777778,0.945652174,,Run18-synth,0.877192982,0.760233918,0.931818182
Run19-iso,0.953125,0.89375,0.910416667,,Run19-copy,0.918478261,0.966666667,0.951086957,,Run19-synth,0.898203593,0.916167665,0.951807229
Run20-iso,0.953929539,0.901075269,0.853763441,,Run20-copy,0.918918919,0.967032967,0.881081081,,Run20-synth,0.878612717,0.878612717,0.91954023
Run21-iso,0.958333333,0.8875,0.908333333,,Run21-copy,0.923913043,0.955555556,0.929347826,,Run21-synth,0.903614458,0.86746988,0.950617284
Run22-iso,0.953929539,0.883870968,0.862365591,,Run22-copy,0.920212766,0.956521739,0.89893617,,Run22-synth,0.902173913,0.869565217,0.902173913
Run23-iso,0.951219512,0.946236559,0.905376344,,Run23-copy,0.903225806,0.956521739,0.903225806,,Run23-synth,0.892655367,0.881355932,0.945054945
Run24-iso,0.959349593,0.888172043,0.868817204,,Run24-copy,0.967567568,0.989010989,0.891891892,,Run24-synth,0.922619048,0.863095238,0.890243902
Run25-iso,0.971354167,0.879166667,0.897916667,,Run25-copy,0.947089947,0.956989247,0.925925926,,Run25-synth,0.93258427,0.882022472,0.923076923
