Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.940104167,0.9375,0.889583333,,Run1-copy,0.931578947,0.946808511,0.921052632,,Run1-synth,0.885714286,0.857142857,0.898876404
Run2-iso,0.948509485,0.946236559,0.894623656,,Run2-copy,0.916230366,1,0.916230366,,Run2-synth,0.857954545,0.880681818,0.879120879
Run3-iso,0.929539295,0.922580645,0.911827957,,Run3-copy,0.908108108,0.945054945,0.918918919,,Run3-synth,0.854748603,0.87150838,0.868131868
Run4-iso,0.943089431,0.916129032,0.903225806,,Run4-copy,0.907608696,0.944444444,0.907608696,,Run4-synth,0.830409357,0.824561404,0.870588235
Run5-iso,0.940379404,0.875268817,0.875268817,,Run5-copy,0.931937173,0.905263158,0.895287958,,Run5-synth,0.83908046,0.873563218,0.909090909
Run6-iso,0.93495935,0.941935484,0.92688172,,Run6-copy,0.930107527,0.97826087,0.962365591,,Run6-synth,0.831325301,0.885542169,0.928571429
Run7-iso,0.950520833,0.920833333,0.927083333,,Run7-copy,0.918032787,0.921348315,0.923497268,,Run7-synth,0.811764706,0.847058824,0.926829268
Run8-iso,0.9609375,0.89375,0.879166667,,Run8-copy,0.936507937,0.913978495,0.915343915,,Run8-synth,0.855491329,0.843930636,0.892857143
Run9-iso,0.956639566,0.901075269,0.901075269,,Run9-copy,0.962365591,0.902173913,0.940860215,,Run9-synth,0.856321839,0.873563218,0.822222222
Run10-iso,0.951219512,0.931182796,0.875268817,,Run10-copy,0.923913043,0.977777778,0.902173913,,Run10-synth,0.825842697,0.825842697,0.858695652
Run11-iso,0.953929539,0.935483871,0.903225806,,Run11-copy,0.920634921,0.946236559,0.947089947,,Run11-synth,0.853932584,0.893258427,0.956043956
Run12-iso,0.947916667,0.925,0.90625,,Run12-copy,0.885869565,0.944444444,0.923913043,,Run12-synth,0.860606061,0.842424242,0.913580247
Run13-iso,0.948509485,0.920430108,0.898924731,,Run13-copy,0.924324324,0.945054945,0.908108108,,Run13-synth,0.872727273,0.866666667,0.925
Run14-iso,0.93495935,0.91827957,0.896774194,,Run14-copy,0.952631579,0.968085106,0.957894737,,Run14-synth,0.794594595,0.881081081,0.90625
Run15-iso,0.950520833,0.91875,0.908333333,,Run15-copy,0.913043478,0.955555556,0.902173913,,Run15-synth,0.809248555,0.843930636,0.917647059
Run16-iso,0.955729167,0.952083333,0.877083333,,Run16-copy,0.940217391,0.988888889,0.929347826,,Run16-synth,0.834319527,0.875739645,0.903614458
Run17-iso,0.921875,0.90625,0.883333333,,Run17-copy,0.915343915,0.946236559,0.899470899,,Run17-synth,0.848837209,0.854651163,0.869047619
Run18-iso,0.921409214,0.922580645,0.929032258,,Run18-copy,0.869565217,0.955555556,0.929347826,,Run18-synth,0.81871345,0.824561404,0.886363636
Run19-iso,0.9296875,0.902083333,0.933333333,,Run19-copy,0.891304348,0.911111111,0.913043478,,Run19-synth,0.790419162,0.868263473,0.915662651
Run20-iso,0.945799458,0.911827957,0.875268817,,Run20-copy,0.924324324,0.934065934,0.891891892,,Run20-synth,0.913294798,0.919075145,0.896551724
Run21-iso,0.9609375,0.908333333,0.91875,,Run21-copy,0.907608696,0.944444444,0.891304348,,Run21-synth,0.843373494,0.873493976,0.950617284
Run22-iso,0.929539295,0.909677419,0.862365591,,Run22-copy,0.914893617,0.956521739,0.872340426,,Run22-synth,0.85326087,0.885869565,0.891304348
Run23-iso,0.948509485,0.913978495,0.853763441,,Run23-copy,0.967741935,0.945652174,0.908602151,,Run23-synth,0.853107345,0.892655367,0.879120879
Run24-iso,0.962059621,0.948387097,0.929032258,,Run24-copy,0.962162162,0.956043956,0.92972973,,Run24-synth,0.845238095,0.869047619,0.914634146
Run25-iso,0.955729167,0.922916667,0.897916667,,Run25-copy,0.920634921,0.978494624,0.931216931,,Run25-synth,0.831460674,0.825842697,0.923076923
