Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.96875,0.939583333,0.820833333,,Run1-copy,0.942105263,0.978723404,0.8,,Run1-synth,0.874285714,0.92,0.95505618
Run2-iso,0.962059621,0.946236559,0.756989247,,Run2-copy,0.937172775,0.968421053,0.743455497,,Run2-synth,0.863636364,0.863636364,0.934065934
Run3-iso,0.93495935,0.888172043,0.812903226,,Run3-copy,0.902702703,0.967032967,0.848648649,,Run3-synth,0.832402235,0.882681564,0.912087912
Run4-iso,0.956639566,0.920430108,0.802150538,,Run4-copy,0.929347826,0.966666667,0.820652174,,Run4-synth,0.888888889,0.859649123,0.917647059
Run5-iso,0.970189702,0.92688172,0.797849462,,Run5-copy,0.905759162,0.957894737,0.785340314,,Run5-synth,0.873563218,0.890804598,0.977272727
Run6-iso,0.964769648,0.967741935,0.804301075,,Run6-copy,0.935483871,0.967391304,0.801075269,,Run6-synth,0.86746988,0.927710843,0.988095238
Run7-iso,0.981770833,0.897916667,0.820833333,,Run7-copy,0.945355191,0.95505618,0.825136612,,Run7-synth,0.882352941,0.847058824,0.926829268
Run8-iso,0.963541667,0.922916667,0.827083333,,Run8-copy,0.899470899,0.956989247,0.851851852,,Run8-synth,0.867052023,0.884393064,0.94047619
Run9-iso,0.959349593,0.939784946,0.780645161,,Run9-copy,0.930107527,0.956521739,0.822580645,,Run9-synth,0.885057471,0.896551724,0.944444444
Run10-iso,0.959349593,0.903225806,0.774193548,,Run10-copy,0.929347826,0.977777778,0.777173913,,Run10-synth,0.808988764,0.814606742,0.923913043
Run11-iso,0.98102981,0.959139785,0.815053763,,Run11-copy,0.936507937,0.989247312,0.793650794,,Run11-synth,0.848314607,0.893258427,0.967032967
Run12-iso,0.973958333,0.93125,0.783333333,,Run12-copy,0.913043478,0.966666667,0.755434783,,Run12-synth,0.878787879,0.866666667,0.913580247
Run13-iso,0.959349593,0.944086022,0.823655914,,Run13-copy,0.918918919,0.967032967,0.816216216,,Run13-synth,0.872727273,0.903030303,0.9625
Run14-iso,0.959349593,0.948387097,0.821505376,,Run14-copy,0.936842105,0.968085106,0.810526316,,Run14-synth,0.837837838,0.864864865,0.958333333
Run15-iso,0.947916667,0.904166667,0.78125,,Run15-copy,0.907608696,0.955555556,0.804347826,,Run15-synth,0.838150289,0.832369942,0.917647059
Run16-iso,0.9765625,0.916666667,0.79375,,Run16-copy,0.945652174,0.977777778,0.804347826,,Run16-synth,0.869822485,0.834319527,0.927710843
Run17-iso,0.950520833,0.93125,0.802083333,,Run17-copy,0.941798942,0.989247312,0.825396825,,Run17-synth,0.86627907,0.854651163,0.94047619
Run18-iso,0.937669377,0.911827957,0.787096774,,Run18-copy,0.913043478,0.966666667,0.788043478,,Run18-synth,0.865497076,0.871345029,0.954545455
Run19-iso,0.979166667,0.908333333,0.79375,,Run19-copy,0.956521739,0.933333333,0.788043478,,Run19-synth,0.880239521,0.874251497,0.951807229
Run20-iso,0.964769648,0.896774194,0.791397849,,Run20-copy,0.924324324,0.967032967,0.794594595,,Run20-synth,0.89017341,0.895953757,0.954022989
Run21-iso,0.973958333,0.920833333,0.808333333,,Run21-copy,0.961956522,0.966666667,0.831521739,,Run21-synth,0.843373494,0.915662651,0.962962963
Run22-iso,0.972899729,0.898924731,0.832258065,,Run22-copy,0.95212766,0.967391304,0.861702128,,Run22-synth,0.880434783,0.89673913,0.945652174
Run23-iso,0.964769648,0.898924731,0.8,,Run23-copy,0.983870968,0.97826087,0.790322581,,Run23-synth,0.881355932,0.88700565,0.934065934
Run24-iso,0.964769648,0.892473118,0.791397849,,Run24-copy,0.935135135,0.945054945,0.783783784,,Run24-synth,0.863095238,0.845238095,0.926829268
Run25-iso,0.9765625,0.958333333,0.808333333,,Run25-copy,0.957671958,0.956989247,0.783068783,,Run25-synth,0.887640449,0.842696629,0.934065934
