Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.96875,0.925,0.95,,Run1-copy,0.931578947,0.968085106,0.963157895,,Run1-synth,0.891428571,0.891428571,0.966292135
Run2-iso,0.972899729,0.95483871,0.944086022,,Run2-copy,0.947643979,0.978947368,0.942408377,,Run2-synth,0.875,0.875,0.912087912
Run3-iso,0.956639566,0.913978495,0.901075269,,Run3-copy,0.918918919,0.967032967,0.940540541,,Run3-synth,0.882681564,0.899441341,0.912087912
Run4-iso,0.959349593,0.952688172,0.935483871,,Run4-copy,0.956521739,0.966666667,0.945652174,,Run4-synth,0.888888889,0.859649123,0.941176471
Run5-iso,0.937669377,0.946236559,0.92688172,,Run5-copy,0.937172775,0.978947368,0.921465969,,Run5-synth,0.856321839,0.91954023,0.988636364
Run6-iso,0.967479675,0.952688172,0.95483871,,Run6-copy,0.956989247,0.945652174,0.97311828,,Run6-synth,0.927710843,0.93373494,0.964285714
Run7-iso,0.9921875,0.908333333,0.910416667,,Run7-copy,0.978142077,0.93258427,0.956284153,,Run7-synth,0.9,0.829411765,0.890243902
Run8-iso,0.963541667,0.933333333,0.933333333,,Run8-copy,0.952380952,0.978494624,0.947089947,,Run8-synth,0.89017341,0.884393064,0.952380952
Run9-iso,0.964769648,0.929032258,0.890322581,,Run9-copy,0.97311828,0.945652174,0.924731183,,Run9-synth,0.908045977,0.885057471,0.855555556
Run10-iso,0.970189702,0.944086022,0.92688172,,Run10-copy,0.951086957,0.988888889,0.929347826,,Run10-synth,0.831460674,0.865168539,0.956521739
Run11-iso,0.98102981,0.952688172,0.937634409,,Run11-copy,0.947089947,0.978494624,0.947089947,,Run11-synth,0.887640449,0.91011236,0.934065934
Run12-iso,0.963541667,0.966666667,0.960416667,,Run12-copy,0.97826087,0.988888889,0.967391304,,Run12-synth,0.890909091,0.903030303,0.913580247
Run13-iso,0.967479675,0.931182796,0.948387097,,Run13-copy,0.935135135,0.956043956,0.972972973,,Run13-synth,0.878787879,0.872727273,0.975
Run14-iso,0.98102981,0.950537634,0.903225806,,Run14-copy,0.947368421,0.978723404,0.968421053,,Run14-synth,0.848648649,0.864864865,0.90625
Run15-iso,0.950520833,0.933333333,0.93125,,Run15-copy,0.929347826,0.966666667,0.956521739,,Run15-synth,0.861271676,0.855491329,0.905882353
Run16-iso,0.953125,0.960416667,0.960416667,,Run16-copy,0.951086957,0.933333333,0.967391304,,Run16-synth,0.863905325,0.875739645,0.939759036
Run17-iso,0.947916667,0.972916667,0.910416667,,Run17-copy,0.968253968,1,0.952380952,,Run17-synth,0.872093023,0.895348837,0.952380952
Run18-iso,0.953929539,0.950537634,0.944086022,,Run18-copy,0.880434783,0.977777778,0.929347826,,Run18-synth,0.883040936,0.906432749,0.965909091
Run19-iso,0.955729167,0.891666667,0.910416667,,Run19-copy,0.934782609,0.922222222,0.956521739,,Run19-synth,0.868263473,0.856287425,0.927710843
Run20-iso,0.953929539,0.950537634,0.913978495,,Run20-copy,0.951351351,0.956043956,0.924324324,,Run20-synth,0.924855491,0.907514451,0.965517241
Run21-iso,0.966145833,0.9625,0.945833333,,Run21-copy,0.945652174,0.966666667,0.940217391,,Run21-synth,0.861445783,0.909638554,0.962962963
Run22-iso,0.972899729,0.92688172,0.922580645,,Run22-copy,0.968085106,0.967391304,0.95212766,,Run22-synth,0.89673913,0.864130435,0.967391304
Run23-iso,0.98102981,0.907526882,0.959139785,,Run23-copy,0.978494624,0.945652174,0.978494624,,Run23-synth,0.915254237,0.86440678,0.923076923
Run24-iso,0.983739837,0.939784946,0.909677419,,Run24-copy,0.940540541,0.967032967,0.967567568,,Run24-synth,0.904761905,0.892857143,0.902439024
Run25-iso,0.979166667,0.958333333,0.95,,Run25-copy,0.984126984,0.967741935,0.952380952,,Run25-synth,0.882022472,0.837078652,0.934065934
