Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.9453125,0.88125,0.920833333,,Run1-copy,0.857894737,0.872340426,0.9,,Run1-synth,0.862857143,0.805714286,0.865168539
Run2-iso,0.940379404,0.877419355,0.877419355,,Run2-copy,0.884816754,0.873684211,0.842931937,,Run2-synth,0.806818182,0.846590909,0.835164835
Run3-iso,0.93495935,0.905376344,0.877419355,,Run3-copy,0.902702703,0.912087912,0.891891892,,Run3-synth,0.832402235,0.854748603,0.802197802
Run4-iso,0.948509485,0.883870968,0.879569892,,Run4-copy,0.885869565,0.966666667,0.875,,Run4-synth,0.795321637,0.847953216,0.823529412
Run5-iso,0.93495935,0.888172043,0.853763441,,Run5-copy,0.890052356,0.968421053,0.832460733,,Run5-synth,0.816091954,0.873563218,0.886363636
Run6-iso,0.953929539,0.929032258,0.862365591,,Run6-copy,0.903225806,0.913043478,0.897849462,,Run6-synth,0.879518072,0.879518072,0.880952381
Run7-iso,0.919270833,0.90625,0.8875,,Run7-copy,0.879781421,0.921348315,0.825136612,,Run7-synth,0.847058824,0.858823529,0.853658537
Run8-iso,0.9453125,0.8875,0.854166667,,Run8-copy,0.873015873,0.913978495,0.80952381,,Run8-synth,0.849710983,0.849710983,0.773809524
Run9-iso,0.959349593,0.888172043,0.888172043,,Run9-copy,0.876344086,0.913043478,0.892473118,,Run9-synth,0.82183908,0.804597701,0.877777778
Run10-iso,0.937669377,0.92688172,0.860215054,,Run10-copy,0.864130435,0.944444444,0.864130435,,Run10-synth,0.808988764,0.882022472,0.836956522
Run11-iso,0.956639566,0.892473118,0.892473118,,Run11-copy,0.878306878,0.924731183,0.867724868,,Run11-synth,0.837078652,0.893258427,0.868131868
Run12-iso,0.973958333,0.920833333,0.858333333,,Run12-copy,0.907608696,0.9,0.842391304,,Run12-synth,0.83030303,0.836363636,0.814814815
Run13-iso,0.962059621,0.843010753,0.817204301,,Run13-copy,0.908108108,0.89010989,0.886486486,,Run13-synth,0.860606061,0.806060606,0.775
Run14-iso,0.948509485,0.883870968,0.851612903,,Run14-copy,0.873684211,0.968085106,0.889473684,,Run14-synth,0.864864865,0.854054054,0.770833333
Run15-iso,0.908854167,0.891666667,0.883333333,,Run15-copy,0.902173913,0.877777778,0.891304348,,Run15-synth,0.843930636,0.820809249,0.847058824
Run16-iso,0.963541667,0.885416667,0.883333333,,Run16-copy,0.89673913,0.911111111,0.918478261,,Run16-synth,0.869822485,0.816568047,0.879518072
Run17-iso,0.955729167,0.904166667,0.83125,,Run17-copy,0.925925926,0.870967742,0.830687831,,Run17-synth,0.895348837,0.860465116,0.833333333
Run18-iso,0.918699187,0.916129032,0.898924731,,Run18-copy,0.85326087,0.866666667,0.902173913,,Run18-synth,0.871345029,0.888888889,0.909090909
Run19-iso,0.955729167,0.91875,0.85625,,Run19-copy,0.869565217,0.922222222,0.864130435,,Run19-synth,0.880239521,0.904191617,0.855421687
Run20-iso,0.929539295,0.870967742,0.870967742,,Run20-copy,0.859459459,0.879120879,0.897297297,,Run20-synth,0.820809249,0.878612717,0.885057471
Run21-iso,0.950520833,0.889583333,0.914583333,,Run21-copy,0.864130435,0.922222222,0.907608696,,Run21-synth,0.885542169,0.885542169,0.851851852
Run22-iso,0.959349593,0.888172043,0.862365591,,Run22-copy,0.89893617,0.934782609,0.819148936,,Run22-synth,0.875,0.89673913,0.847826087
Run23-iso,0.945799458,0.916129032,0.875268817,,Run23-copy,0.870967742,0.913043478,0.870967742,,Run23-synth,0.802259887,0.86440678,0.89010989
Run24-iso,0.948509485,0.905376344,0.868817204,,Run24-copy,0.87027027,0.945054945,0.886486486,,Run24-synth,0.869047619,0.845238095,0.817073171
Run25-iso,0.953125,0.875,0.879166667,,Run25-copy,0.915343915,0.946236559,0.91005291,,Run25-synth,0.876404494,0.814606742,0.835164835
