Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.8625,0.8,0.870833333,,Run1-copy,0.852631579,0.778947368,0.794736842,,Run1-synth,0.857142857,0.742857143,0.788571429
Run2-iso,0.858064516,0.804301075,0.819354839,,Run2-copy,0.842931937,0.806282723,0.795811518,,Run2-synth,0.767045455,0.784090909,0.767045455
Run3-iso,0.815053763,0.911827957,0.819354839,,Run3-copy,0.891891892,0.886486486,0.805405405,,Run3-synth,0.748603352,0.832402235,0.737430168
Run4-iso,0.774193548,0.823655914,0.812903226,,Run4-copy,0.798913043,0.89673913,0.788043478,,Run4-synth,0.637426901,0.81871345,0.748538012
Run5-iso,0.729032258,0.827956989,0.830107527,,Run5-copy,0.764397906,0.87434555,0.759162304,,Run5-synth,0.706896552,0.82183908,0.810344828
Run6-iso,0.776344086,0.707526882,0.748387097,,Run6-copy,0.779569892,0.790322581,0.795698925,,Run6-synth,0.722891566,0.686746988,0.759036145
Run7-iso,0.797916667,0.802083333,0.808333333,,Run7-copy,0.819672131,0.825136612,0.721311475,,Run7-synth,0.788235294,0.817647059,0.729411765
Run8-iso,0.8,0.766666667,0.81875,,Run8-copy,0.825396825,0.798941799,0.777777778,,Run8-synth,0.797687861,0.728323699,0.687861272
Run9-iso,0.789247312,0.8,0.851612903,,Run9-copy,0.822580645,0.817204301,0.849462366,,Run9-synth,0.781609195,0.729885057,0.810344828
Run10-iso,0.838709677,0.91827957,0.810752688,,Run10-copy,0.831521739,0.907608696,0.809782609,,Run10-synth,0.752808989,0.859550562,0.719101124
Run11-iso,0.823655914,0.858064516,0.774193548,,Run11-copy,0.830687831,0.851851852,0.767195767,,Run11-synth,0.786516854,0.820224719,0.752808989
Run12-iso,0.91875,0.84375,0.729166667,,Run12-copy,0.918478261,0.77173913,0.701086957,,Run12-synth,0.824242424,0.739393939,0.648484848
Run13-iso,0.883870968,0.604301075,0.649462366,,Run13-copy,0.891891892,0.659459459,0.718918919,,Run13-synth,0.793939394,0.515151515,0.593939394
Run14-iso,0.815053763,0.866666667,0.819354839,,Run14-copy,0.826315789,0.889473684,0.868421053,,Run14-synth,0.778378378,0.821621622,0.740540541
Run15-iso,0.829166667,0.810416667,0.8125,,Run15-copy,0.847826087,0.798913043,0.842391304,,Run15-synth,0.774566474,0.682080925,0.780346821
Run16-iso,0.904166667,0.8375,0.816666667,,Run16-copy,0.89673913,0.788043478,0.836956522,,Run16-synth,0.804733728,0.781065089,0.680473373
Run17-iso,0.920833333,0.854166667,0.708333333,,Run17-copy,0.904761905,0.846560847,0.751322751,,Run17-synth,0.86627907,0.808139535,0.709302326
Run18-iso,0.847311828,0.847311828,0.843010753,,Run18-copy,0.744565217,0.809782609,0.836956522,,Run18-synth,0.754385965,0.81871345,0.748538012
Run19-iso,0.877083333,0.835416667,0.6875,,Run19-copy,0.85326087,0.836956522,0.701086957,,Run19-synth,0.832335329,0.820359281,0.598802395
Run20-iso,0.825806452,0.827956989,0.815053763,,Run20-copy,0.772972973,0.837837838,0.832432432,,Run20-synth,0.768786127,0.809248555,0.768786127
Run21-iso,0.854166667,0.8375,0.90625,,Run21-copy,0.798913043,0.72826087,0.85326087,,Run21-synth,0.795180723,0.771084337,0.84939759
Run22-iso,0.870967742,0.817204301,0.756989247,,Run22-copy,0.872340426,0.835106383,0.712765957,,Run22-synth,0.804347826,0.815217391,0.733695652
Run23-iso,0.840860215,0.827956989,0.866666667,,Run23-copy,0.844086022,0.822580645,0.849462366,,Run23-synth,0.768361582,0.774011299,0.779661017
Run24-iso,0.870967742,0.894623656,0.731182796,,Run24-copy,0.854054054,0.875675676,0.778378378,,Run24-synth,0.845238095,0.857142857,0.708333333
Run25-iso,0.908333333,0.777083333,0.754166667,,Run25-copy,0.888888889,0.867724868,0.793650794,,Run25-synth,0.870786517,0.775280899,0.634831461
