Testing Set, Iso Train Results, Copy Train Results, Synth Trian Results
TestSet1iso,0.96875,0.883333333333,0.816666666667,
TestSet2iso,0.885416666667,0.758333333333,0.825,
TestSet3iso,0.989583333333,0.933333333333,0.958333333333,
TestSet4iso,0.916666666667,0.816666666667,0.816666666667,
TestSet5iso,1.0,0.933333333333,0.95,
TestSet6iso,0.958333333333,0.958333333333,0.958333333333,
TestSet7iso,0.9375,0.858333333333,0.858333333333,
TestSet8iso,0.947916666667,0.883333333333,0.9,
TestSet9iso,0.938271604938,0.847619047619,0.87619047619,
TestSet10iso,0.895833333333,0.875,0.875,
TestSet11iso,0.979166666667,0.941666666667,0.85,
TestSet12iso,0.979166666667,0.941666666667,0.858333333333,
TestSet13iso,0.916666666667,0.841666666667,0.816666666667,
TestSet14iso,0.913580246914,0.971428571429,0.895238095238,
TestSet15iso,0.989583333333,0.933333333333,0.883333333333,
TestSet16iso,0.958333333333,0.916666666667,0.875,
TestSet17iso,0.916666666667,0.891666666667,0.775,
TestSet18iso,0.927083333333,0.9,0.841666666667,
TestSet19iso,0.950617283951,0.87619047619,0.904761904762,
TestSet20iso,0.947916666667,0.841666666667,0.9,
TestSet21iso,0.989583333333,0.925,0.941666666667,
TestSet22iso,0.938271604938,0.971428571429,0.87619047619,
TestSet23iso,1.0,0.908333333333,0.95,
TestSet24iso,0.947916666667,0.908333333333,0.85,
TestSet25iso,0.9375,0.866666666667,0.883333333333,
TestSet1copy,0.872340425532,1.0,0.851063829787,
TestSet2copy,0.829787234043,0.913043478261,0.978723404255,
TestSet3copy,0.978723404255,0.95652173913,0.936170212766,
TestSet4copy,0.914893617021,0.913043478261,0.851063829787,
TestSet5copy,0.866666666667,0.952380952381,0.933333333333,
TestSet6copy,0.9375,0.916666666667,0.916666666667,
TestSet7copy,0.978260869565,0.909090909091,0.847826086957,
TestSet8copy,0.893617021277,0.826086956522,0.936170212766,
TestSet9copy,0.893617021277,0.95652173913,0.914893617021,
TestSet10copy,0.847826086957,0.818181818182,0.913043478261,
TestSet11copy,0.875,0.958333333333,0.979166666667,
TestSet12copy,0.916666666667,0.791666666667,0.75,
TestSet13copy,0.860465116279,0.857142857143,0.906976744186,
TestSet14copy,0.914893617021,0.869565217391,0.914893617021,
TestSet15copy,0.934782608696,0.954545454545,0.978260869565,
TestSet16copy,0.875,0.875,0.854166666667,
TestSet17copy,0.872340425532,0.913043478261,0.851063829787,
TestSet18copy,0.869565217391,1.0,0.934782608696,
TestSet19copy,0.875,0.916666666667,0.854166666667,
TestSet20copy,0.978723404255,0.913043478261,0.957446808511,
TestSet21copy,0.979166666667,0.958333333333,0.916666666667,
TestSet22copy,0.875,0.916666666667,0.875,
TestSet23copy,0.875,0.916666666667,0.895833333333,
TestSet24copy,0.936170212766,0.913043478261,0.765957446809,
TestSet25copy,0.891304347826,0.863636363636,0.826086956522,
TestSet1synth,0.888888888889,0.888888888889,0.954545454545,
TestSet2synth,0.844444444444,0.911111111111,0.95652173913,
TestSet3synth,0.977777777778,0.844444444444,0.913043478261,
TestSet4synth,0.729166666667,0.854166666667,0.84,
TestSet5synth,0.826923076923,0.826923076923,0.892857142857,
TestSet6synth,0.860465116279,0.837209302326,0.95,
TestSet7synth,0.886363636364,0.863636363636,0.772727272727,
TestSet8synth,0.833333333333,0.972222222222,0.933333333333,
TestSet9synth,0.863636363636,0.931818181818,0.954545454545,
TestSet10synth,0.90243902439,0.829268292683,0.95,
TestSet11synth,0.921052631579,0.921052631579,1.0,
TestSet12synth,1.0,0.90243902439,0.952380952381,
TestSet13synth,0.90243902439,0.926829268293,0.857142857143,
TestSet14synth,0.869565217391,0.934782608696,0.84,
TestSet15synth,0.934782608696,0.934782608696,0.958333333333,
TestSet16synth,0.825,0.85,0.952380952381,
TestSet17synth,0.809523809524,0.809523809524,0.904761904762,
TestSet18synth,0.955555555556,0.933333333333,0.909090909091,
TestSet19synth,0.869565217391,0.934782608696,0.875,
TestSet20synth,0.897435897436,0.846153846154,0.95,
TestSet21synth,0.871794871795,0.871794871795,1.0,
TestSet22synth,0.921568627451,0.843137254902,0.962962962963,
TestSet23synth,0.916666666667,0.888888888889,0.941176470588,
TestSet24synth,0.891891891892,0.864864864865,1.0,
TestSet25synth,0.883720930233,0.883720930233,0.947368421053,
