Testing Set, Iso Train Results, Copy Train Results, Synth Trian Results,,, Iso Train Results, Copy Train Results, Synth Trian Results,,, Iso Train Results, Copy Train Results, Synth Trian Results
TestSet1iso,0.616666667,0.486524823,0.319148936,,TestSet1copy,0.609318996,0.574468085,0.383512545,,TestSet1synth,0.559386973,0.551724138,0.2
TestSet2iso,0.608333333,0.428368794,0.331914894,,TestSet2copy,0.620071685,0.617021277,0.401433692,,TestSet2synth,0.54789272,0.406130268,0.244444444
TestSet3iso,0.466666667,0.407092199,0.313475177,,TestSet3copy,0.627240143,0.531914894,0.379928315,,TestSet3synth,0.559386973,0.367816092,0.177777778
TestSet4iso,0.558333333,0.466666667,0.341843972,,TestSet4copy,0.594982079,0.531914894,0.397849462,,TestSet4synth,0.53256705,0.463601533,0.270833333
TestSet5iso,0.466666667,0.456737589,0.316312057,,TestSet5copy,0.52688172,0.577777778,0.383512545,,TestSet5synth,0.482758621,0.421455939,0.211538462
TestSet6iso,0.533333333,0.421276596,0.314893617,,TestSet6copy,0.534050179,0.5625,0.394265233,,TestSet6synth,0.501915709,0.356321839,0.23255814
TestSet7iso,0.541666667,0.4,0.310638298,,TestSet7copy,0.458781362,0.47826087,0.383512545,,TestSet7synth,0.383141762,0.295019157,0.159090909
TestSet8iso,0.575,0.453900709,0.317730496,,TestSet8copy,0.559139785,0.553191489,0.376344086,,TestSet8synth,0.524904215,0.417624521,0.138888889
TestSet9iso,0.542857143,0.417021277,0.321985816,,TestSet9copy,0.46953405,0.638297872,0.383512545,,TestSet9synth,0.421455939,0.379310345,0.181818182
TestSet10iso,0.65,0.443971631,0.365957447,,TestSet10copy,0.573476703,0.586956522,0.408602151,,TestSet10synth,0.517241379,0.429118774,0.341463415
TestSet11iso,0.541666667,0.431205674,0.320567376,,TestSet11copy,0.566308244,0.479166667,0.397849462,,TestSet11synth,0.505747126,0.352490421,0.184210526
TestSet12iso,0.458333333,0.409929078,0.320567376,,TestSet12copy,0.512544803,0.458333333,0.387096774,,TestSet12synth,0.475095785,0.340996169,0.243902439
TestSet13iso,0.6,0.402836879,0.323404255,,TestSet13copy,0.512544803,0.488372093,0.394265233,,TestSet13synth,0.459770115,0.340996169,0.170731707
TestSet14iso,0.447619048,0.475177305,0.326241135,,TestSet14copy,0.483870968,0.638297872,0.387096774,,TestSet14synth,0.490421456,0.490421456,0.304347826
TestSet15iso,0.541666667,0.44822695,0.320567376,,TestSet15copy,0.573476703,0.52173913,0.390681004,,TestSet15synth,0.501915709,0.406130268,0.195652174
TestSet16iso,0.525,0.45248227,0.314893617,,TestSet16copy,0.487455197,0.479166667,0.387096774,,TestSet16synth,0.505747126,0.402298851,0.25
TestSet17iso,0.608333333,0.434042553,0.336170213,,TestSet17copy,0.577060932,0.468085106,0.401433692,,TestSet17synth,0.494252874,0.37164751,0.142857143
TestSet18iso,0.566666667,0.411347518,0.307801418,,TestSet18copy,0.544802867,0.586956522,0.379928315,,TestSet18synth,0.498084291,0.352490421,0.177777778
TestSet19iso,0.485714286,0.443971631,0.324822695,,TestSet19copy,0.415770609,0.5625,0.397849462,,TestSet19synth,0.383141762,0.379310345,0.173913043
TestSet20iso,0.533333333,0.371631206,0.320567376,,TestSet20copy,0.537634409,0.446808511,0.390681004,,TestSet20synth,0.46743295,0.264367816,0.153846154
TestSet21iso,0.35,0.456737589,0.330496454,,TestSet21copy,0.512544803,0.5,0.390681004,,TestSet21synth,0.517241379,0.417624521,0.256410256
TestSet22iso,0.4,0.436879433,0.320567376,,TestSet22copy,0.487455197,0.520833333,0.379928315,,TestSet22synth,0.444444444,0.375478927,0.274509804
TestSet23iso,0.55,0.395744681,0.319148936,,TestSet23copy,0.498207885,0.5,0.394265233,,TestSet23synth,0.463601533,0.30651341,0.111111111
TestSet24iso,0.575,0.432624113,0.320567376,,TestSet24copy,0.534050179,0.574468085,0.387096774,,TestSet24synth,0.54789272,0.375478927,0.297297297
TestSet25iso,0.45,0.465248227,0.323404255,,TestSet25copy,0.498207885,0.652173913,0.390681004,,TestSet25synth,0.413793103,0.406130268,0.279069767
average,0.527714286,0.433985816,0.323347518,,,0.532616487,0.541168197,0.389964158,,,0.487969349,0.386819923,0.214962023
stdev,0.071814862,0.027739715,0.011664313,,,0.052778716,0.059736104,0.008014581,,,0.049757809,0.060685753,0.059230532























TestSet1synth,0.559386973,0.551724138,0.2
TestSet2synth,0.54789272,0.406130268,0.244444444
TestSet3synth,0.559386973,0.367816092,0.177777778
TestSet4synth,0.53256705,0.463601533,0.270833333
TestSet5synth,0.482758621,0.421455939,0.211538462
TestSet6synth,0.501915709,0.356321839,0.23255814
TestSet7synth,0.383141762,0.295019157,0.159090909
TestSet8synth,0.524904215,0.417624521,0.138888889
TestSet9synth,0.421455939,0.379310345,0.181818182
TestSet10synth,0.517241379,0.429118774,0.341463415
TestSet11synth,0.505747126,0.352490421,0.184210526
TestSet12synth,0.475095785,0.340996169,0.243902439
TestSet13synth,0.459770115,0.340996169,0.170731707
TestSet14synth,0.490421456,0.490421456,0.304347826
TestSet15synth,0.501915709,0.406130268,0.195652174
TestSet16synth,0.505747126,0.402298851,0.25
TestSet17synth,0.494252874,0.37164751,0.142857143
TestSet18synth,0.498084291,0.352490421,0.177777778
TestSet19synth,0.383141762,0.379310345,0.173913043
TestSet20synth,0.46743295,0.264367816,0.153846154
TestSet21synth,0.517241379,0.417624521,0.256410256
TestSet22synth,0.444444444,0.375478927,0.274509804
TestSet23synth,0.463601533,0.30651341,0.111111111
TestSet24synth,0.54789272,0.375478927,0.297297297
TestSet25synth,0.413793103,0.406130268,0.279069767
