Testing Set, Iso Train Results, Copy Train Results, Synth Trian Results
TestSet1iso,0.962962962963,0.92380952381,0.87619047619,
TestSet2iso,0.947916666667,0.933333333333,0.866666666667,
TestSet3iso,0.947916666667,0.841666666667,0.891666666667,
TestSet4iso,0.950617283951,0.914285714286,0.952380952381,
TestSet5iso,0.90625,0.808333333333,0.866666666667,
TestSet6iso,0.938271604938,0.92380952381,0.971428571429,
TestSet7iso,0.9375,0.916666666667,0.908333333333,
TestSet8iso,0.916666666667,0.8,0.816666666667,
TestSet9iso,0.979166666667,0.891666666667,0.875,
TestSet10iso,0.927083333333,0.875,0.883333333333,
TestSet11iso,0.947916666667,0.9,0.933333333333,
TestSet12iso,0.989583333333,0.933333333333,0.816666666667,
TestSet13iso,0.90625,0.866666666667,0.725,
TestSet14iso,0.895833333333,0.908333333333,0.883333333333,
TestSet15iso,0.90625,0.866666666667,0.941666666667,
TestSet16iso,0.989583333333,0.916666666667,0.85,
TestSet17iso,0.947916666667,0.925,0.866666666667,
TestSet18iso,0.96875,0.925,0.841666666667,
TestSet19iso,0.96875,0.9,0.916666666667,
TestSet20iso,0.90625,0.825,0.775,
TestSet21iso,0.9375,0.858333333333,0.875,
TestSet22iso,0.975308641975,0.952380952381,1.0,
TestSet23iso,0.96875,0.916666666667,0.941666666667,
TestSet24iso,0.90625,0.958333333333,0.858333333333,
TestSet25iso,0.895833333333,0.883333333333,0.9,
TestSet1copy,0.957446808511,0.869565217391,0.936170212766,
TestSet2copy,1.0,1.0,0.875,
TestSet3copy,1.0,0.95652173913,0.893617021277,
TestSet4copy,0.914893617021,0.913043478261,0.893617021277,
TestSet5copy,0.911111111111,1.0,0.8,
TestSet6copy,0.936170212766,0.869565217391,0.936170212766,
TestSet7copy,0.916666666667,1.0,0.979166666667,
TestSet8copy,0.913043478261,0.954545454545,0.869565217391,
TestSet9copy,0.9375,1.0,0.854166666667,
TestSet10copy,0.913043478261,1.0,0.934782608696,
TestSet11copy,0.875,0.958333333333,0.958333333333,
TestSet12copy,0.9375,0.958333333333,0.916666666667,
TestSet13copy,0.957446808511,1.0,0.765957446809,
TestSet14copy,0.883720930233,1.0,0.883720930233,
TestSet15copy,0.893617021277,1.0,0.914893617021,
TestSet16copy,0.979166666667,0.958333333333,0.895833333333,
TestSet17copy,0.928571428571,0.9,0.928571428571,
TestSet18copy,0.93023255814,1.0,0.906976744186,
TestSet19copy,0.914893617021,1.0,0.829787234043,
TestSet20copy,0.914893617021,0.95652173913,0.914893617021,
TestSet21copy,0.891304347826,1.0,0.804347826087,
TestSet22copy,0.875,0.916666666667,0.9375,
TestSet23copy,0.976744186047,0.952380952381,0.953488372093,
TestSet24copy,0.9375,1.0,0.979166666667,
TestSet25copy,0.916666666667,0.875,0.854166666667,
TestSet1synth,0.891304347826,0.826086956522,1.0,
TestSet2synth,0.923076923077,0.948717948718,0.75,
TestSet3synth,0.925,0.6,0.9,
TestSet4synth,0.745098039216,0.803921568627,1.0,
TestSet5synth,0.933333333333,0.711111111111,0.826086956522,
TestSet6synth,0.775510204082,0.918367346939,0.92,
TestSet7synth,0.875,0.875,0.882352941176,
TestSet8synth,0.785714285714,0.690476190476,0.772727272727,
TestSet9synth,0.911111111111,0.888888888889,0.909090909091,
TestSet10synth,0.869565217391,0.804347826087,0.818181818182,
TestSet11synth,0.918367346939,0.897959183673,0.925925925926,
TestSet12synth,0.886363636364,0.863636363636,0.913043478261,
TestSet13synth,0.9,0.8,0.95,
TestSet14synth,0.820512820513,0.871794871795,0.736842105263,
TestSet15synth,0.822222222222,0.8,0.95652173913,
TestSet16synth,0.906976744186,0.906976744186,0.9,
TestSet17synth,0.939393939394,0.909090909091,0.933333333333,
TestSet18synth,0.725,0.825,0.95,
TestSet19synth,0.916666666667,0.916666666667,1.0,
TestSet20synth,0.926829268293,0.853658536585,0.95,
TestSet21synth,0.837209302326,0.767441860465,0.857142857143,
TestSet22synth,0.829268292683,0.80487804878,0.8,
TestSet23synth,0.828571428571,0.885714285714,0.941176470588,
TestSet24synth,0.833333333333,0.904761904762,0.85,
TestSet25synth,0.894736842105,0.894736842105,0.947368421053,
