user,run,globalset,userset,comboset
USER1,Run1,0.719512195122,0.219512195122,0.609756097561
USER1,Run3,0.719512195122,0.439024390244,0.573170731707
USER1,Run4,0.219512195122,0.780487804878,0.475609756098
USER1,Run7,0.109756097561,0.536585365854,0.487804878049
USER1,Run8,0.573170731707,0.378048780488,0.59756097561
USER1,Run10,0.475609756098,0.780487804878,0.341463414634
USER1,Run11,0.987804878049,0.560975609756,0.219512195122
USER1,Run13,0.463414634146,0.390243902439,0.487804878049
USER1,Run15,0.59756097561,0.487804878049,0.475609756098
USER1,Run16,0.69512195122,0.292682926829,0.487804878049
USER1,Run17,0.329268292683,0.780487804878,0.463414634146
USER1,Run18,0.231707317073,0.59756097561,0.109756097561
USER1,Run19,0.231707317073,0.487804878049,0.475609756098
USER1,Run25,0.719512195122,0.207317073171,0.353658536585
USER2,Run1,0.433884297521,0.219008264463,0.51652892562
USER2,Run2,0.53305785124,0.264462809917,0.570247933884
USER2,Run5,0.561983471074,0.301652892562,0.727272727273
USER2,Run6,0.735537190083,0.264462809917,0.51652892562
USER2,Run10,0.433884297521,0.326446280992,0.51652892562
USER2,Run11,0.661157024793,0.264462809917,0.47520661157
USER2,Run12,0.438016528926,0.442148760331,0.47520661157
USER2,Run14,0.566115702479,0.264462809917,0.479338842975
USER2,Run15,0.685950413223,0.223140495868,0.698347107438
USER2,Run16,0.557851239669,0.264462809917,0.51652892562
USER2,Run17,0.595041322314,0.640495867769,0.611570247934
USER2,Run21,0.520661157025,0.272727272727,0.780991735537
USER2,Run23,0.47520661157,0.264462809917,0.47520661157
USER3,Run1,0.673366834171,0.562814070352,0.673366834171
USER3,Run2,0.633165829146,0.261306532663,0.673366834171
USER3,Run4,0.572864321608,0.51256281407,0.517587939698
USER3,Run10,0.517587939698,0.261306532663,0.517587939698
USER3,Run13,0.522613065327,0.572864321608,0.572864321608
USER3,Run16,0.668341708543,0.316582914573,0.623115577889
USER3,Run19,0.56783919598,0.170854271357,0.56783919598
USER3,Run20,0.798994974874,0.27135678392,0.623115577889
USER3,Run21,0.572864321608,0.311557788945,0.623115577889
USER3,Run23,0.572864321608,0.170854271357,0.572864321608
USER4,Run8,0.669117647059,0.676470588235,0.669117647059
USER4,Run10,0.661764705882,0.816176470588,0.661764705882
USER4,Run13,0.742647058824,0.588235294118,0.742647058824
USER4,Run14,0.742647058824,0.455882352941,0.661764705882
USER4,Run15,0.661764705882,0.382352941176,0.742647058824
USER4,Run16,0.75,0.676470588235,0.757352941176
USER4,Run18,0.735294117647,0.235294117647,0.661764705882
USER4,Run19,0.661764705882,0.455882352941,0.588235294118
USER4,Run22,0.816176470588,0.0882352941176,0.669117647059
USER4,Run24,0.661764705882,0.522058823529,0.735294117647
USER4,Run25,0.661764705882,0.683823529412,0.661764705882
USER5,Run2,0.65991902834,0.364372469636,0.562753036437
USER5,Run3,0.862348178138,0.311740890688,0.611336032389
USER5,Run6,0.866396761134,0.522267206478,0.82995951417
