set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.9375,0.789473684211,0.666666666667,1.0,0.947368421053,0.9,0.872340425532
Run2,1.0,0.888888888889,1.0,0.923076923077,0.85,1.0,0.9375
Run3,1.0,0.842105263158,0.727272727273,0.888888888889,0.95,1.0,0.914893617021
Run4,0.9375,0.882352941176,0.846153846154,1.0,0.944444444444,0.894736842105,0.914893617021
Run5,0.875,0.777777777778,0.636363636364,0.7,0.944444444444,1.0,0.844444444444
Run6,0.9375,1.0,0.833333333333,1.0,1.0,0.863636363636,0.936170212766
Run7,0.875,0.933333333333,0.916666666667,0.785714285714,0.95,1.0,0.916666666667
Run8,0.9375,0.789473684211,0.636363636364,0.875,1.0,1.0,0.891304347826
Run9,0.75,0.857142857143,0.833333333333,0.769230769231,0.95,0.904761904762,0.854166666667
Run10,0.9375,0.882352941176,0.75,0.9,1.0,0.947368421053,0.913043478261
Run11,0.75,0.8,0.769230769231,0.833333333333,0.894736842105,0.809523809524,0.8125
Run12,0.9375,1.0,0.75,0.818181818182,0.9,0.818181818182,0.875
Run13,0.875,1.0,1.0,0.8,0.947368421053,1.0,0.936170212766
Run14,0.875,0.823529411765,0.833333333333,0.833333333333,0.933333333333,1.0,0.883720930233
Run15,1.0,0.842105263158,0.636363636364,0.875,0.95,0.95,0.893617021277
Run16,0.875,0.933333333333,0.846153846154,0.846153846154,1.0,0.95,0.916666666667
Run17,0.9375,0.9375,0.916666666667,0.916666666667,1.0,1.0,0.952380952381
Run18,0.8125,0.866666666667,0.75,0.692307692308,0.933333333333,0.933333333333,0.837209302326
Run19,0.875,1.0,1.0,0.8,0.842105263158,0.888888888889,0.893617021277
Run20,1.0,1.0,0.916666666667,0.846153846154,0.894736842105,0.944444444444,0.936170212766
Run21,1.0,1.0,0.818181818182,0.9,0.947368421053,0.9,0.934782608696
Run22,0.875,0.823529411765,0.833333333333,0.909090909091,0.95,0.95,0.895833333333
Run23,0.875,1.0,1.0,0.857142857143,1.0,1.0,0.953488372093
Run24,0.8125,0.8125,0.666666666667,0.666666666667,0.95,0.95,0.833333333333
Run25,0.625,0.666666666667,0.583333333333,0.538461538462,0.9,0.9,0.729166666667
