Test Set,Iso Train,ER Train,Process Train, ,Test Set,Iso Train,ER Train,Process Train, ,Test Set,Iso Train,ER Train,Process Train, 
Run1-iso,0.589970501475,0.480825958702,0.492625368732, ,Run1-er,0.625766871166,0.612068965517,0.625, ,Run1-process,0.635416666667,0.53125,0.635514018692, 
Run2-iso,0.535294117647,0.452941176471,0.497058823529, ,Run2-er,0.594512195122,0.611111111111,0.645299145299, ,Run2-process,0.605128205128,0.476923076923,0.644859813084, 
Run3-iso,0.535928143713,0.437125748503,0.398203592814, ,Run3-er,0.665573770492,0.597222222222,0.601851851852, ,Run3-process,0.601990049751,0.572139303483,0.594827586207, 
Run4-iso,0.573099415205,0.447368421053,0.429824561404, ,Run4-er,0.630872483221,0.615384615385,0.620192307692, ,Run4-process,0.60396039604,0.559405940594,0.566371681416, 
Run5-iso,0.495652173913,0.411594202899,0.440579710145, ,Run5-er,0.592833876221,0.55504587156,0.56880733945, ,Run5-process,0.489247311828,0.430107526882,0.558823529412, 
Run6-iso,0.561194029851,0.480597014925,0.45671641791, ,Run6-er,0.638709677419,0.547945205479,0.630136986301, ,Run6-process,0.554347826087,0.478260869565,0.534653465347, 
Run7-iso,0.522988505747,0.456896551724,0.402298850575, ,Run7-er,0.592024539877,0.659482758621,0.594827586207, ,Run7-process,0.534391534392,0.455026455026,0.596153846154, 
Run8-iso,0.632047477745,0.474777448071,0.480712166172, ,Run8-er,0.681818181818,0.692660550459,0.633027522936, ,Run8-process,0.666666666667,0.577777777778,0.622448979592, 
Run9-iso,0.5,0.44476744186,0.386627906977, ,Run9-er,0.593059936909,0.625,0.566964285714, ,Run9-process,0.557291666667,0.5,0.559633027523, 
Run10-iso,0.487031700288,0.414985590778,0.414985590778, ,Run10-er,0.58803986711,0.635071090047,0.616113744076, ,Run10-process,0.488505747126,0.402298850575,0.533333333333, 
Run11-iso,0.513353115727,0.454005934718,0.409495548961, ,Run11-er,0.571906354515,0.638095238095,0.561904761905, ,Run11-process,0.522842639594,0.497461928934,0.583333333333, 
Run12-iso,0.507418397626,0.480712166172,0.456973293769, ,Run12-er,0.575384615385,0.601731601732,0.606060606061, ,Run12-process,0.514705882353,0.480392156863,0.622807017544, 
Run13-iso,0.536231884058,0.460869565217,0.426086956522, ,Run13-er,0.567398119122,0.594713656388,0.599118942731, ,Run13-process,0.583783783784,0.486486486486,0.504854368932, 
Run14-iso,0.5,0.45,0.435294117647, ,Run14-er,0.563694267516,0.617777777778,0.617777777778, ,Run14-process,0.464285714286,0.469387755102,0.518518518519, 
Run15-iso,0.676300578035,0.520231213873,0.488439306358, ,Run15-er,0.686274509804,0.62962962963,0.648148148148, ,Run15-process,0.657754010695,0.566844919786,0.611650485437, 
Run16-iso,0.582840236686,0.443786982249,0.440828402367, ,Run16-er,0.63698630137,0.570731707317,0.575609756098, ,Run16-process,0.61581920904,0.435028248588,0.554347826087, 
Run17-iso,0.59940652819,0.548961424332,0.448071216617, ,Run17-er,0.673076923077,0.686363636364,0.609090909091, ,Run17-process,0.627551020408,0.642857142857,0.611111111111, 
Run18-iso,0.494152046784,0.394736842105,0.438596491228, ,Run18-er,0.609756097561,0.625,0.655, ,Run18-process,0.56976744186,0.418604651163,0.561797752809, 
Run19-iso,0.433908045977,0.431034482759,0.419540229885, ,Run19-er,0.541528239203,0.658767772512,0.625592417062, ,Run19-process,0.375796178344,0.388535031847,0.432098765432, 
Run20-iso,0.594117647059,0.520588235294,0.432352941176, ,Run20-er,0.680722891566,0.59243697479,0.584033613445, ,Run20-process,0.618784530387,0.480662983425,0.581632653061, 
Run21-iso,0.647928994083,0.51775147929,0.420118343195, ,Run21-er,0.697068403909,0.559633027523,0.577981651376, ,Run21-process,0.697297297297,0.497297297297,0.540816326531, 
Run22-iso,0.565088757396,0.452662721893,0.396449704142, ,Run22-er,0.632218844985,0.632911392405,0.57805907173, ,Run22-process,0.570680628272,0.492146596859,0.536363636364, 
Run23-iso,0.486725663717,0.412979351032,0.495575221239, ,Run23-er,0.589743589744,0.586363636364,0.6, ,Run23-process,0.482926829268,0.49756097561,0.560344827586, 
Run24-iso,0.523391812865,0.400584795322,0.441520467836, ,Run24-er,0.554794520548,0.609756097561,0.60487804878, ,Run24-process,0.580459770115,0.385057471264,0.52688172043, 
Run25-iso,0.505952380952,0.428571428571,0.404761904762, ,Run25-er,0.573248407643,0.607142857143,0.584821428571, ,Run25-process,0.511627906977,0.412790697674,0.510638297872, 
