Test Set,Iso Train,ER Train,Process Train, ,Test Set,Iso Train,ER Train,Process Train, ,Test Set,Iso Train,ER Train,Process Train, 
Run1-iso,0.498850574713,0.501149425287,0.452873563218, ,Run1-er,0.585889570552,0.628834355828,0.552147239264, ,Run1-process,0.59375,0.546875,0.484375, 
Run2-iso,0.639908256881,0.403669724771,0.461009174312, ,Run2-er,0.618902439024,0.539634146341,0.548780487805, ,Run2-process,0.769230769231,0.466666666667,0.497435897436, 
Run3-iso,0.583720930233,0.460465116279,0.558139534884, ,Run3-er,0.714754098361,0.550819672131,0.616393442623, ,Run3-process,0.641791044776,0.542288557214,0.641791044776, 
Run4-iso,0.458904109589,0.392694063927,0.424657534247, ,Run4-er,0.557046979866,0.503355704698,0.520134228188, ,Run4-process,0.50495049505,0.514851485149,0.524752475248, 
Run5-iso,0.507936507937,0.503401360544,0.417233560091, ,Run5-er,0.579804560261,0.547231270358,0.504885993485, ,Run5-process,0.537634408602,0.52688172043,0.413978494624, 
Run6-iso,0.730858468677,0.389791183295,0.582366589327, ,Run6-er,0.774193548387,0.477419354839,0.651612903226, ,Run6-process,0.711956521739,0.461956521739,0.554347826087, 
Run7-iso,0.405405405405,0.531531531532,0.36036036036, ,Run7-er,0.524539877301,0.641104294479,0.509202453988, ,Run7-process,0.460317460317,0.550264550265,0.444444444444, 
Run8-iso,0.478060046189,0.471131639723,0.475750577367, ,Run8-er,0.555194805195,0.584415584416,0.577922077922, ,Run8-process,0.55,0.522222222222,0.511111111111, 
Run9-iso,0.5,0.4,0.361363636364, ,Run9-er,0.570977917981,0.526813880126,0.482649842271, ,Run9-process,0.557291666667,0.458333333333,0.416666666667, 
Run10-iso,0.435665914221,0.41309255079,0.365688487585, ,Run10-er,0.541528239203,0.524916943522,0.511627906977, ,Run10-process,0.408045977011,0.390804597701,0.402298850575, 
Run11-iso,0.722863741339,0.392609699769,0.394919168591, ,Run11-er,0.752508361204,0.508361204013,0.501672240803, ,Run11-process,0.690355329949,0.446700507614,0.456852791878, 
Run12-iso,0.441108545035,0.415704387991,0.427251732102, ,Run12-er,0.510769230769,0.526153846154,0.529230769231, ,Run12-process,0.475490196078,0.436274509804,0.460784313725, 
Run13-iso,0.487528344671,0.428571428571,0.408163265306, ,Run13-er,0.554858934169,0.542319749216,0.53605015674, ,Run13-process,0.491891891892,0.432432432432,0.4, 
Run14-iso,0.564220183486,0.415137614679,0.509174311927, ,Run14-er,0.627388535032,0.547770700637,0.59872611465, ,Run14-process,0.535714285714,0.438775510204,0.505102040816, 
Run15-iso,0.536199095023,0.579185520362,0.414027149321, ,Run15-er,0.565359477124,0.607843137255,0.506535947712, ,Run15-process,0.513368983957,0.609625668449,0.433155080214, 
Run16-iso,0.585253456221,0.592165898618,0.444700460829, ,Run16-er,0.619863013699,0.61301369863,0.52397260274, ,Run16-process,0.576271186441,0.587570621469,0.412429378531, 
Run17-iso,0.478060046189,0.676674364896,0.431870669746, ,Run17-er,0.586538461538,0.701923076923,0.560897435897, ,Run17-process,0.535714285714,0.729591836735,0.489795918367, 
Run18-iso,0.413242009132,0.351598173516,0.383561643836, ,Run18-er,0.540069686411,0.498257839721,0.536585365854, ,Run18-process,0.459302325581,0.412790697674,0.453488372093, 
Run19-iso,0.396396396396,0.40990990991,0.376126126126, ,Run19-er,0.53488372093,0.544850498339,0.514950166113, ,Run19-process,0.343949044586,0.337579617834,0.337579617834, 
Run20-iso,0.821100917431,0.52752293578,0.383027522936, ,Run20-er,0.798192771084,0.557228915663,0.496987951807, ,Run20-process,0.806629834254,0.491712707182,0.39226519337, 
Run21-iso,0.410138248848,0.481566820276,0.506912442396, ,Run21-er,0.488599348534,0.501628664495,0.596091205212, ,Run21-process,0.432432432432,0.427027027027,0.481081081081, 
Run22-iso,0.640552995392,0.608294930876,0.410138248848, ,Run22-er,0.68085106383,0.677811550152,0.516717325228, ,Run22-process,0.623036649215,0.659685863874,0.455497382199, 
Run23-iso,0.450574712644,0.395402298851,0.372413793103, ,Run23-er,0.541666666667,0.496794871795,0.471153846154, ,Run23-process,0.487804878049,0.478048780488,0.448780487805, 
Run24-iso,0.417808219178,0.422374429224,0.449771689498, ,Run24-er,0.503424657534,0.520547945205,0.547945205479, ,Run24-process,0.477011494253,0.396551724138,0.442528735632, 
Run25-iso,0.430555555556,0.456018518519,0.439814814815, ,Run25-er,0.554140127389,0.570063694268,0.579617834395, ,Run25-process,0.436046511628,0.447674418605,0.401162790698, 
