set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.9375,0.9375,0.833333333333,0.909090909091,1.0,0.95,0.936170212766
Run2,0.9375,0.789473684211,0.583333333333,0.875,1.0,0.952380952381,0.875
Run3,0.9375,1.0,1.0,0.6875,0.8,1.0,0.893617021277
Run4,1.0,0.888888888889,0.615384615385,1.0,1.0,0.857142857143,0.893617021277
Run5,0.875,0.736842105263,0.545454545455,0.666666666667,0.888888888889,0.941176470588,0.8
Run6,0.9375,1.0,0.916666666667,0.846153846154,0.947368421053,0.947368421053,0.936170212766
Run7,1.0,0.941176470588,0.916666666667,1.0,1.0,1.0,0.979166666667
Run8,1.0,0.761904761905,0.454545454545,1.0,1.0,0.95,0.869565217391
Run9,0.9375,0.75,0.5,0.857142857143,1.0,0.952380952381,0.854166666667
Run10,1.0,0.842105263158,0.75,1.0,1.0,1.0,0.934782608696
Run11,1.0,0.941176470588,0.923076923077,1.0,0.947368421053,0.947368421053,0.958333333333
Run12,0.875,1.0,0.916666666667,0.846153846154,0.95,0.904761904762,0.916666666667
Run13,0.9375,0.714285714286,0.583333333333,0.636363636364,0.736842105263,0.933333333333,0.765957446809
Run14,0.9375,0.789473684211,0.666666666667,0.888888888889,1.0,1.0,0.883720930233
Run15,1.0,0.888888888889,0.818181818182,0.818181818182,0.9,1.0,0.914893617021
Run16,0.75,1.0,0.923076923077,0.75,1.0,0.95,0.895833333333
Run17,1.0,1.0,1.0,0.8,0.785714285714,1.0,0.928571428571
Run18,0.9375,0.9375,0.833333333333,0.833333333333,0.933333333333,0.933333333333,0.906976744186
Run19,0.875,0.933333333333,0.916666666667,0.611111111111,0.736842105263,1.0,0.829787234043
Run20,1.0,0.888888888889,0.916666666667,0.846153846154,0.842105263158,1.0,0.914893617021
Run21,0.75,0.857142857143,0.636363636364,0.636363636364,0.947368421053,0.857142857143,0.804347826087
Run22,0.875,0.933333333333,0.916666666667,1.0,1.0,0.909090909091,0.9375
Run23,1.0,0.888888888889,0.833333333333,1.0,1.0,1.0,0.953488372093
Run24,0.9375,1.0,1.0,0.923076923077,1.0,1.0,0.979166666667
Run25,1.0,0.8,0.666666666667,0.727272727273,0.85,1.0,0.854166666667
