set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.875,0.875,0.75,0.75,0.909090909091,0.909090909091,0.869565217391
Run2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run3,1.0,0.888888888889,0.666666666667,1.0,1.0,1.0,0.95652173913
Run4,1.0,0.888888888889,0.8,0.8,0.9,1.0,0.913043478261
Run5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run6,0.875,0.875,0.5,0.666666666667,1.0,0.916666666667,0.869565217391
Run7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run8,1.0,1.0,1.0,0.75,0.909090909091,1.0,0.954545454545
Run9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run11,1.0,1.0,0.8,1.0,1.0,0.916666666667,0.958333333333
Run12,1.0,0.888888888889,0.75,1.0,1.0,1.0,0.958333333333
Run13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run16,1.0,1.0,1.0,0.833333333333,0.909090909091,1.0,0.958333333333
Run17,0.875,1.0,1.0,0.666666666667,0.875,1.0,0.9
Run18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run20,1.0,0.888888888889,1.0,1.0,0.909090909091,1.0,0.95652173913
Run21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run22,0.875,1.0,0.75,1.0,1.0,0.857142857143,0.916666666667
Run23,1.0,1.0,1.0,0.8,0.888888888889,1.0,0.952380952381
Run24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run25,0.875,0.875,0.75,0.6,0.916666666667,1.0,0.875
