"set","and precision"," and recall"," or precision"," or recall"," not precision"," not recall"," accuracy"
"Run4",0.91,0.95,0.8,0.8,0.9,0.82,0.88
"Run5",0.78,0.72,0.56,0.6,0.92,1,0.75
"Run6",0.91,0.87,0.69,0.82,1,0.89,0.86
"Run7",0.87,0.83,0.79,0.73,0.71,1,0.82
"Run8",0.95,0.73,0.45,0.83,0.8,1,0.78
"Run9",0.95,0.84,0.71,0.91,1,1,0.89
"Run10",1,0.83,0.71,1,1,1,0.9
"Run11",0.9,0.95,0.92,0.8,0.8,1,0.89
"Run12",1,0.81,0.64,1,1,1,0.88
"Run13",0.91,0.91,0.77,0.83,1,0.86,0.88
"Run14",0.86,0.7,0.5,0.67,0.75,0.86,0.72
"Run15",0.95,0.95,0.94,0.88,0.88,1,0.93
"Run16",0.91,0.95,0.93,0.82,0.33,0.5,0.88
"Run17",0.75,0.71,0.56,0.6,0.83,0.83,0.69
"Run18",0.96,0.88,0.79,0.92,1,1,0.91
"Run19",0.87,0.91,0.8,0.67,0.5,0.67,0.78
"Run20",0.9,0.86,0.79,0.85,1,1,0.87
"Run21",0.9,0.86,0.79,0.85,0.75,0.75,0.85
"Run22",0.96,0.88,0.8,0.86,0.92,1,0.9
"Run23",0.9,0.9,0.85,0.85,1,1,0.89
"Run24",0.67,0.82,0.73,0.53,1,1,0.73
"Run25",0.95,0.78,0.5,0.75,0.89,1,0.81
,,,,,,,
"Run1",0.94,0.79,0.67,0.62,0.74,0.93,0.79
"Run2",0.69,0.73,0.75,0.56,0.84,1,0.77
"Run3",0.94,0.83,0.69,0.9,1,0.95,0.89
"Run4",1,0.84,0.73,0.57,0.7,1,0.81
"Run5",0.94,0.88,0.83,1,0.94,0.89,0.91
"Run6",1,0.8,0.75,0.82,0.85,1,0.88
"Run7",0.81,0.81,0.73,0.73,1,1,0.87
"Run8",0.88,0.7,0.42,0.56,0.89,0.94,0.77
"Run9",1,0.8,0.67,0.73,0.84,1,0.85
"Run10",0.94,0.75,0.58,1,1,0.95,0.87
"Run11",0.94,0.88,0.83,0.77,0.85,0.94,0.88
"Run12",0.88,0.7,0.54,0.7,0.89,0.94,0.79
"Run13",0.88,0.67,0.5,0.67,0.87,1,0.77
"Run14",1,0.7,0.5,1,0.95,1,0.85
"Run15",1,0.8,0.64,1,1,1,0.91
"Run16",0.75,0.92,1,0.55,0.65,1,0.77
"Run17",0.81,0.81,0.73,0.62,0.9,1,0.83
"Run18",0.56,0.64,0.55,0.46,1,1,0.74
"Run19",0.88,0.67,0.58,0.54,0.65,0.93,0.71
"Run20",0.94,0.63,0.25,0.75,1,1,0.79
"Run21",1,0.8,0.58,0.88,0.95,0.95,0.88
"Run22",0.81,0.93,0.85,0.65,0.84,0.94,0.83
"Run23",1,0.67,0.33,0.8,0.95,1,0.81
"Run24",0.88,0.78,0.67,0.53,0.74,1,0.77
"Run25",0.94,0.68,0.5,0.67,0.83,1,0.78
,,,,,,,
"Run1",0.9,0.71,0.68,0.71,0.78,1,0.78
"Run2",0.7,0.78,0.83,0.59,0.65,0.93,0.73
"Run3",0.83,0.92,1,0.85,0.93,1,0.92
"Run4",0.8,0.8,0.78,0.63,0.75,0.97,0.78
"Run5",0.85,0.97,0.98,0.87,1,1,0.94
"Run6",0.85,0.83,0.8,0.8,0.95,0.97,0.87
"Run7",0.75,0.83,0.85,0.68,0.85,1,0.82
"Run8",0.88,0.65,0.6,0.67,0.73,0.97,0.73
"Run9",0.91,0.65,0.51,0.64,0.74,0.93,0.72
"Run10",0.88,0.78,0.78,0.84,0.95,1,0.87
"Run11",0.85,0.83,0.83,0.83,0.93,0.95,0.87
"Run12",0.88,0.81,0.9,0.84,0.85,1,0.88
"Run13",0.63,0.64,0.68,0.61,0.93,1,0.74
"Run14",0.89,0.86,0.89,0.89,0.97,1,0.91
"Run15",0.95,0.73,0.73,0.85,0.85,1,0.84
"Run16",0.63,0.89,1,0.68,0.83,1,0.82
"Run17",0.68,0.87,0.88,0.64,0.83,0.97,0.79
"Run18",0.4,0.67,0.8,0.57,1,1,0.73
"Run19",0.97,0.68,0.6,0.91,0.91,1,0.83
"Run20",0.98,0.58,0.3,0.75,0.93,1,0.73
"Run21",0.98,0.89,0.85,0.81,0.83,0.97,0.88
"Run22",0.74,1,1,0.74,0.89,0.97,0.88
"Run23",0.9,0.72,0.68,0.87,0.98,1,0.85
"Run24",0.93,0.71,0.6,0.69,0.8,0.97,0.78
"Run25",0.9,0.61,0.63,0.78,0.7,0.97,0.74
,,,,,,,
"Run1",0.91,0.84,0.58,0.54,0.6,0.86,0.76
"Run2",0.95,0.87,0.73,0.92,1,0.9,0.89
"Run3",0.77,1,1,0.74,1,1,0.89
"Run4",0.87,0.87,0.8,0.71,0.8,1,0.83
"Run5",0.87,0.95,0.94,0.79,0.92,1,0.9
"Run6",0.95,0.78,0.46,0.75,0.75,0.75,0.77
"Run7",0.7,1,1,0.61,0.71,1,0.8
