set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.869565217391,0.952380952381,0.916666666667,0.733333333333,0.9,1.0,0.888888888889
Run2,0.904761904762,0.791666666667,0.666666666667,0.833333333333,1.0,1.0,0.844444444444
Run3,1.0,0.95652173913,0.928571428571,1.0,1.0,1.0,0.977777777778
Run4,0.826086956522,0.76,0.466666666667,0.583333333333,0.9,0.818181818182,0.729166666667
Run5,0.913043478261,0.777777777778,0.625,0.769230769231,0.923076923077,1.0,0.826923076923
Run6,0.863636363636,0.904761904762,0.846153846154,0.785714285714,0.875,0.875,0.860465116279
Run7,0.826086956522,0.95,0.928571428571,0.764705882353,1.0,1.0,0.886363636364
Run8,0.95,0.826086956522,0.636363636364,0.777777777778,0.8,1.0,0.833333333333
Run9,0.909090909091,0.869565217391,0.785714285714,0.785714285714,0.875,1.0,0.863636363636
Run10,0.95,0.863636363636,0.785714285714,0.916666666667,1.0,1.0,0.90243902439
Run11,0.95,0.95,0.923076923077,0.857142857143,0.8,1.0,0.921052631579
Run12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run13,0.954545454545,0.875,0.769230769231,0.909090909091,1.0,1.0,0.90243902439
Run14,0.909090909091,0.869565217391,0.8125,0.866666666667,0.875,0.875,0.869565217391
Run15,0.954545454545,0.913043478261,0.875,0.933333333333,1.0,1.0,0.934782608696
Run16,0.909090909091,0.909090909091,0.8,0.8,0.333333333333,0.333333333333,0.825
Run17,0.85,0.772727272727,0.6875,0.785714285714,1.0,1.0,0.809523809524
Run18,0.95652173913,0.95652173913,0.928571428571,0.928571428571,1.0,1.0,0.955555555556
Run19,0.95652173913,0.88,0.866666666667,0.928571428571,0.625,0.714285714286,0.869565217391
Run20,0.857142857143,0.947368421053,0.928571428571,0.8125,1.0,1.0,0.897435897436
Run21,0.952380952381,0.909090909091,0.785714285714,0.916666666667,0.75,0.6,0.871794871795
Run22,0.95652173913,0.95652173913,0.933333333333,0.823529411765,0.846153846154,1.0,0.921568627451
Run23,0.95,0.904761904762,0.846153846154,0.916666666667,1.0,1.0,0.916666666667
Run24,0.857142857143,0.947368421053,0.909090909091,0.769230769231,1.0,1.0,0.891891891892
Run25,0.909090909091,0.909090909091,0.833333333333,0.769230769231,0.888888888889,1.0,0.883720930233
