set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.514285714286,0.947368421053,0.828571428571,0.674418604651,0.885714285714,0.720930232558,0.742857142857
Run2,0.95,0.863636363636,0.8,0.820512820513,0.875,0.945945945946,0.875
Run3,0.625,0.862068965517,0.625,0.641025641026,0.95,0.730769230769,0.733333333333
Run4,0.542857142857,0.95,0.942857142857,0.868421052632,1.0,0.744680851064,0.828571428571
Run5,0.725,0.878787878788,0.55,0.709677419355,0.975,0.696428571429,0.75
Run6,0.571428571429,1.0,0.714285714286,0.735294117647,1.0,0.686274509804,0.761904761905
Run7,0.85,0.944444444444,0.925,0.711538461538,0.775,0.96875,0.85
Run8,0.775,0.885714285714,0.625,0.757575757576,0.95,0.730769230769,0.783333333333
Run9,0.7,1.0,0.85,0.723404255319,0.975,0.866666666667,0.841666666667
Run10,0.525,0.6,0.625,0.757575757576,1.0,0.769230769231,0.716666666667
Run11,0.825,0.970588235294,0.675,0.794117647059,0.975,0.75,0.825
Run12,0.975,0.975,0.675,0.931034482759,0.975,0.764705882353,0.875
Run13,0.725,1.0,0.7,0.8,1.0,0.714285714286,0.808333333333
Run14,0.8,0.969696969697,0.9,0.878048780488,1.0,0.869565217391,0.9
Run15,0.875,0.921052631579,0.7,0.933333333333,1.0,0.769230769231,0.858333333333
Run16,0.725,1.0,0.925,0.755102040816,0.975,0.928571428571,0.875
Run17,0.975,0.829787234043,0.7,0.666666666667,0.675,0.870967741935,0.783333333333
Run18,0.9,0.818181818182,0.85,0.894736842105,0.875,0.921052631579,0.875
Run19,0.825,0.942857142857,0.8,0.820512820513,0.95,0.826086956522,0.858333333333
Run20,0.7,0.933333333333,0.525,0.636363636364,0.9,0.631578947368,0.708333333333
Run21,0.85,0.894736842105,0.6,0.727272727273,0.85,0.69387755102,0.766666666667
Run22,0.942857142857,0.868421052632,0.685714285714,0.923076923077,1.0,0.853658536585,0.87619047619
Run23,0.875,0.945945945946,0.8,0.888888888889,1.0,0.851063829787,0.891666666667
Run24,0.775,0.939393939394,0.925,0.804347826087,1.0,0.975609756098,0.9
Run25,0.825,0.916666666667,0.75,0.769230769231,0.8,0.711111111111,0.791666666667
